county,rollout_tier,region,owner,status,nonprofit_count,high_priority_count,funder_starter_count,notes
Alachua,Priority 1,North Central Florida,Research queue,Not started,1553,160,0,"Review top records, verify active organizations, add websites and contacts"
Baker,Priority 1,Northeast Florida,Research queue,Not started,73,6,0,"Review top records, verify active organizations, add websites and contacts"
Bay,Priority 1,Panhandle,Research queue,Not started,837,66,0,"Review top records, verify active organizations, add websites and contacts"
Bradford,Priority 1,North Central Florida,Research queue,Not started,107,4,0,"Review top records, verify active organizations, add websites and contacts"
Brevard,Priority 1,Space Coast,Research queue,Not started,2537,199,0,"Review top records, verify active organizations, add websites and contacts"
Broward,Priority 1,South Florida,Research queue,Not started,10617,778,0,"Review top records, verify active organizations, add websites and contacts"
Calhoun,Priority 1,Panhandle,Research queue,Not started,73,5,0,"Review top records, verify active organizations, add websites and contacts"
Charlotte,Priority 1,Southwest Florida,Research queue,Not started,681,66,0,"Review top records, verify active organizations, add websites and contacts"
Citrus,Priority 1,Nature Coast,Research queue,Not started,531,30,0,"Review top records, verify active organizations, add websites and contacts"
Clay,Priority 1,Northeast Florida,Research queue,Not started,680,32,0,"Review top records, verify active organizations, add websites and contacts"
Collier,Priority 1,Southwest Florida,Research queue,Not started,2089,472,0,"Review top records, verify active organizations, add websites and contacts"
Columbia,Priority 1,North Florida,Research queue,Not started,302,21,0,"Review top records, verify active organizations, add websites and contacts"
DeSoto,Priority 2,Heartland,Research queue,Not started,97,2,0,"Review top records, verify active organizations, add websites and contacts"
Dixie,Priority 2,Nature Coast,Research queue,Not started,81,2,0,"Review top records, verify active organizations, add websites and contacts"
Duval,Priority 2,Northeast Florida,Research queue,Not started,5317,543,0,"Review top records, verify active organizations, add websites and contacts"
Escambia,Priority 2,Panhandle,Research queue,Not started,1467,109,0,"Review top records, verify active organizations, add websites and contacts"
Flagler,Priority 2,Northeast Florida,Research queue,Not started,501,28,0,"Review top records, verify active organizations, add websites and contacts"
Franklin,Priority 2,Big Bend,Research queue,Not started,91,4,0,"Review top records, verify active organizations, add websites and contacts"
Gadsden,Priority 2,Big Bend,Research queue,Not started,246,14,0,"Review top records, verify active organizations, add websites and contacts"
Gilchrist,Priority 2,North Central Florida,Research queue,Not started,86,4,0,"Review top records, verify active organizations, add websites and contacts"
Glades,Priority 2,Southwest Florida,Research queue,Not started,43,6,0,"Review top records, verify active organizations, add websites and contacts"
Gulf,Priority 2,Panhandle,Research queue,Not started,87,2,0,"Review top records, verify active organizations, add websites and contacts"
Hamilton,Priority 2,North Florida,Research queue,Not started,65,0,0,"Review top records, verify active organizations, add websites and contacts"
Hardee,Priority 2,Heartland,Research queue,Not started,147,11,0,"Review top records, verify active organizations, add websites and contacts"
Hendry,Priority 2,Southwest Florida,Research queue,Not started,195,9,0,"Review top records, verify active organizations, add websites and contacts"
Hernando,Priority 2,Tampa Bay,Research queue,Not started,584,25,0,"Review top records, verify active organizations, add websites and contacts"
Highlands,Priority 2,Heartland,Research queue,Not started,413,20,0,"Review top records, verify active organizations, add websites and contacts"
Hillsborough,Priority 2,Tampa Bay,Research queue,Not started,5987,564,0,"Review top records, verify active organizations, add websites and contacts"
Holmes,Priority 2,Panhandle,Research queue,Not started,126,6,0,"Review top records, verify active organizations, add websites and contacts"
Indian River,Priority 2,Treasure Coast,Research queue,Not started,911,171,0,"Review top records, verify active organizations, add websites and contacts"
Jackson,Priority 2,Panhandle,Research queue,Not started,298,24,0,"Review top records, verify active organizations, add websites and contacts"
Jefferson,Priority 2,Big Bend,Research queue,Not started,84,6,0,"Review top records, verify active organizations, add websites and contacts"
Lafayette,Priority 2,North Florida,Research queue,Not started,36,0,0,"Review top records, verify active organizations, add websites and contacts"
Lake,Priority 2,Central Florida,Research queue,Not started,1477,101,0,"Review top records, verify active organizations, add websites and contacts"
Lee,Priority 3,Southwest Florida,Research queue,Not started,2642,335,0,"Review top records, verify active organizations, add websites and contacts"
Leon,Priority 3,Big Bend,Research queue,Not started,1740,267,0,"Review top records, verify active organizations, add websites and contacts"
Levy,Priority 3,Nature Coast,Research queue,Not started,216,8,0,"Review top records, verify active organizations, add websites and contacts"
Liberty,Priority 3,Big Bend,Research queue,Not started,39,2,0,"Review top records, verify active organizations, add websites and contacts"
Madison,Priority 3,North Florida,Research queue,Not started,106,10,0,"Review top records, verify active organizations, add websites and contacts"
Manatee,Priority 3,Suncoast,Research queue,Not started,1449,154,0,"Review top records, verify active organizations, add websites and contacts"
Marion,Priority 3,North Central Florida,Research queue,Not started,1437,82,0,"Review top records, verify active organizations, add websites and contacts"
Martin,Priority 3,Treasure Coast,Research queue,Not started,876,147,0,"Review top records, verify active organizations, add websites and contacts"
Miami-Dade,Priority 3,South Florida,Research queue,Not started,12336,1330,0,"Review top records, verify active organizations, add websites and contacts"
Monroe,Priority 3,South Florida,Research queue,Not started,676,120,0,"Review top records, verify active organizations, add websites and contacts"
Nassau,Priority 3,Northeast Florida,Research queue,Not started,474,45,0,"Review top records, verify active organizations, add websites and contacts"
Okaloosa,Priority 3,Panhandle,Research queue,Not started,985,61,0,"Review top records, verify active organizations, add websites and contacts"
Okeechobee,Priority 3,Treasure Coast,Research queue,Not started,169,6,0,"Review top records, verify active organizations, add websites and contacts"
Orange,Priority 3,Central Florida,Research queue,Not started,6881,665,0,"Review top records, verify active organizations, add websites and contacts"
Osceola,Priority 3,Central Florida,Research queue,Not started,1347,60,0,"Review top records, verify active organizations, add websites and contacts"
Palm Beach,Priority 3,Southeast Florida,Research queue,Not started,8529,1405,0,"Review top records, verify active organizations, add websites and contacts"
Pasco,Priority 3,Tampa Bay,Research queue,Not started,1542,89,0,"Review top records, verify active organizations, add websites and contacts"
Pinellas,Priority 3,Tampa Bay,Research queue,Not started,4875,536,0,"Review top records, verify active organizations, add websites and contacts"
Polk,Priority 3,Central Florida,Research queue,Not started,2490,167,0,"Review top records, verify active organizations, add websites and contacts"
Putnam,Priority 3,Northeast Florida,Research queue,Not started,426,19,0,"Review top records, verify active organizations, add websites and contacts"
Santa Rosa,Priority 3,Panhandle,Research queue,Not started,581,27,0,"Review top records, verify active organizations, add websites and contacts"
Sarasota,Priority 3,Suncoast,Research queue,Not started,2473,452,0,"Review top records, verify active organizations, add websites and contacts"
Seminole,Priority 3,Central Florida,Research queue,Not started,1961,144,0,"Review top records, verify active organizations, add websites and contacts"
St. Johns,Priority 3,Northeast Florida,Research queue,Not started,1211,125,0,"Review top records, verify active organizations, add websites and contacts"
St. Lucie,Priority 3,Treasure Coast,Research queue,Not started,1374,64,0,"Review top records, verify active organizations, add websites and contacts"
Sumter,Priority 3,Central Florida,Research queue,Not started,265,12,0,"Review top records, verify active organizations, add websites and contacts"
Suwannee,Priority 3,North Florida,Research queue,Not started,160,5,0,"Review top records, verify active organizations, add websites and contacts"
Taylor,Priority 3,Big Bend,Research queue,Not started,72,3,0,"Review top records, verify active organizations, add websites and contacts"
Union,Priority 3,North Central Florida,Research queue,Not started,62,0,0,"Review top records, verify active organizations, add websites and contacts"
Volusia,Priority 3,Central Florida,Research queue,Not started,2147,150,0,"Review top records, verify active organizations, add websites and contacts"
Wakulla,Priority 3,Big Bend,Research queue,Not started,150,9,0,"Review top records, verify active organizations, add websites and contacts"
Walton,Priority 3,Panhandle,Research queue,Not started,346,27,0,"Review top records, verify active organizations, add websites and contacts"
Washington,Priority 3,Panhandle,Research queue,Not started,117,7,0,"Review top records, verify active organizations, add websites and contacts"
